,genome_id,genome_name,taxon_id,genome_status,strain,completion_date,bioproject_accession,biosample_accession,assembly_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosomes,plasmids,contigs,genome_length,gc_content,patric_cds,refseq_cds,isolation_source,collection_date,isolation_country,geographic_location,host_name,comments,additional_metadata,complete_mash_cluster
29,550.4063,Enterobacter cloacae KP0785,550,WGS,KP0785,2023-03-09T00:00:00Z,PRJNA867733,SAMN06330157,,JANPVZ000000000,,,Illumina NovaSeq 6000,293.555x,Unicycler v. 2021,0,0,174,5256965,54.497375,5164,4978,Blood,2014,USA,USA: New York City,Human,,collected_by:Anne-Catrin Uhlemann,
30,158836.2075,Enterobacter hormaechei 47214,158836,WGS,47214,2022-11-13T00:00:00Z,PRJNA793828,SAMN24584113,,JAKSEW000000000,,,Illumina NovaSeq,156x,SPAdes v. 3.63,0,0,110,5411146,54.331707,5445,,Other,2017,France,France,Animal,,sample_type:bacterial sample,
31,550.653,Enterobacter cloacae strain e1265,550,WGS,e1265,2016-04-05T00:00:00Z,PRJEB5065,SAMEA2273320,GCF_900075065.1,FJXA00000000,SC,WGS,,,,,,57,4708691,55.12,4498,4339,Other,1800-2014,United Kingdom,United Kingdom,Human,"http://www.sanger.ac.uk/resources/downloads/bacteria/ These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/ This data is from bacterial isolates collected in the BSAC Resistance Surveillance Project. Please see www.bsacsurv.org for details and availability.",cambridgeid:MDR0233,
32,550.1416,Enterobacter cloacae strain ECC1950,550,WGS,ECC1950,2017-11-17T00:00:00Z,PRJNA383602,SAMN06767780,GCA_002785805.1,NEEV00000000,zhejiang University,WGS,Illumina HiSeq,200x,CLC NGS Cell v. 9.1,,,74,5294496,54.9,5302,5163,Bodily Fluids,2011-03-10,China,China: Hangzhou,Human,investigate the population structure and resistant mechanism,collected_by:Yonghong Xiao,
33,158836.1929,Enterobacter hormaechei TK300,158836,WGS,TK300,2022-06-24T00:00:00Z,PRJNA759177,SAMN21154654,GCA_023910315.1,JAIOGT000000000,,WGS,Illumina MiSeq,146.18x,SPAdes v. 3.14.1,0,0,41,4459149,55.35989,4351,4218,Wastewater,2017-10-31,Nigeria,Nigeria: Lagos,Environmental,,,
34,158836.1998,Enterobacter hormaechei P17,158836,WGS,P17,1900-01-01T00:00:00Z,PRJNA865360,SAMN30108569,GCA_024733435.1,JANKJT000000000,,WGS,Illumina NextSeq x75bps,296x,SPAdes v. 3.15.4; Unicycler v. 0.4.8,0,0,70,4831226,55.12347,4762,4628,Other,2018,Brazil,Brazil,Animal,,collected_by:Vanessa Kobs,
35,550.318,Enterobacter cloacae strain 35013,550,WGS,35013,2015-03-19T00:00:00Z,PRJNA259658,SAMN03283622,GCF_000957825.1,JZZU00000000,JCVI,WGS,Illumina HiSeq 2000,106.25x,SPAdes v. 3.1.1,,,59,4859360,55.36,4767,4521,Unknown/Unclear,2012,USA,New York City,Human,"Carbapenem resistance in Enterobacteriacae is increasingly due to the presence of the KPC beta-lactamase, which can be transferred on several different plasmids. The project is designed to better understand the spread of the blaKPC gene and the genetic backgrounds in which it is carried.",collected_by:Barry Kreiswirth,
36,158836.1984,Enterobacter hormaechei SKLX058910,158836,WGS,SKLX058910,2022-08-13T00:00:00Z,PRJNA861121,SAMN30073264,GCA_024649475.1,JANKMN000000000,,WGS,Illumina,100x,SPAdes v. v3.15.3,0,0,52,5279480,54.87948,5215,5033,Blood,2016,China,China: Hefei,Human,,,
37,550.660,Enterobacter cloacae strain e1214,550,WGS,e1214,2016-04-05T00:00:00Z,PRJEB5065,SAMEA2273308,GCF_900075135.1,FJWI00000000,SC,WGS,,,,,,71,5153596,54.86,5086,4864,Other,1800-2014,United Kingdom,United Kingdom,Human,"http://www.sanger.ac.uk/resources/downloads/bacteria/ These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/ This data is from bacterial isolates collected in the BSAC Resistance Surveillance Project. Please see www.bsacsurv.org for details and availability.",cambridgeid:MDR0220,
38,550.554,Enterobacter cloacae strain SMART_1411,550,WGS,SMART_1411,2016-01-22T00:00:00Z,PRJNA259658,SAMN04431006,GCF_001525425.1,LRJG00000000,JCVI,WGS,Illumina NextSeq 500,179.14x,SPAdes v. 3.1.1,,,82,4979505,55.25,4942,4717,Urine,2014,Romania,Romania,Human,"Carbapenem resistance in Enterobacteriacae is increasingly due to the presence of the KPC beta-lactamase, which can be transferred on several different plasmids. The project is designed to better understand the spread of the blaKPC gene and the genetic backgrounds in which it is carried.",collected_by:Johann Pitout,
39,158836.1742,Enterobacter hormaechei FUJ80054,158836,WGS,FUJ80054,2022-06-04T00:00:00Z,PRJDB13518,SAMD00490848,,BRGY00000000,,WGS,MiSeq; MinION,208x,Unicycler v. 0.4.9b,0,0,3,5151303,54.506424,5033,4869,Other,2016-10-31,Japan,Japan,Human,,,
40,1686401.3,Enterobacter sp. BIDMC110,1686401,WGS,BIDMC110,2015-07-21T00:00:00Z,PRJNA271899,SAMN03280193,GCA_001037905.1,LETQ00000000,Broad Institute,WGS,Illumina,150.0x,allpaths v. R48559,,,9,5013557,55.2,4837,4703,Unknown/Unclear,2014,Unknown,Unknown,Human,Sequencing of Carbapenem resistant bacteria Genome sequencing,,
41,2923088.3,Enterobacter sp. JH25,2923088,WGS,JH25,2022-06-27T00:00:00Z,PRJNA811399,SAMN26330675,GCA_023927345.1,JAKZHB000000000,,WGS,Illumina,200x,SPAdes v. 0.48,0,0,123,5230187,54.605312,5192,,Urine,2018-11-11,China,China: Jinhua,Human,,sample_type:single bacteria,
42,158836.1831,Enterobacter hormaechei FUJ80375,158836,WGS,FUJ80375,2022-06-04T00:00:00Z,PRJDB13516,SAMD00490887,,BRKK00000000,,WGS,MiSeq,149x,SPAdes v. 1.13.1,0,0,131,5315336,54.86304,5271,,Other,2018-11-01,Japan,Japan,Human,,,
43,550.903,Enterobacter cloacae strain e660,550,WGS,e660,2016-04-06T00:00:00Z,PRJEB5065,SAMEA2273480,GCF_900077555.1,FKFR00000000,SC,WGS,,,,,,39,5005613,54.98,4850,4636,Other,1800-2014,Unknown,Unknown,Human,"http://www.sanger.ac.uk/resources/downloads/bacteria/ These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/ This data is from bacterial isolates collected in the BSAC Resistance Surveillance Project. Please see www.bsacsurv.org for details and availability.",cambridgeid:MDR0111,
44,158836.2021,Enterobacter hormaechei strain 1074,158836,Complete,1074,2022-09-04T00:00:00Z,PRJNA836696,SAMN28173991,GCA_024917315.1,"CP103674,CP103675",University of Texas MD Anderson Cancer Center,,Oxford Nanopore GridION,176x,Flye v. 2.8.3-b1695,1,1,2,4764181,55.552822,4535,4424,Blood,2017-12-29,USA,USA: Houston,Human,Repository of genomic data for carbapenem non-susceptible Enterobacterales infections at the University of Texas MD Anderson Cancer Center.,collected_by:MDACC,6.0
45,158836.2356,Enterobacter hormaechei RHB45-SO-C08,158836,Complete,RHB45-SO-C08,2023-04-13T00:00:00Z,PRJNA605147,SAMN15488704,,"CP099323,CP099324",,,Illumina/Nanopore,137x,Unicycler v. v0.4.4,1,1,2,4538372,55.385784,4267,4174,Soil,2017,United Kingdom,United Kingdom,Environmental,,"sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",2.0
46,158836.1279,Enterobacter hormaechei strain Colony328,158836,Complete,Colony328,2021-09-22T00:00:00Z,PRJNA668870,SAMN17833480,GCA_020091285.1,CP083472,Ministry of Public Health-Thailand,Complete,Illumina HiSeq,48.13x,idba_ud v. V1.1.3,1,0,1,4545660,56.0656,3979,,Food,,Thailand,Thailand: Songkhla,Environmental,Establishment capacity for Whole genome Sequencing for food-borne outbreaks in Thailand,"collected_by:Department of Disease Control, Ministry of Public Health",6.0
47,550.413,Enterobacter cloacae strain UCI86,550,WGS,UCI86,2015-06-22T00:00:00Z,PRJNA271899,SAMN03280176,GCF_001030145.1,LETA00000000,Broad Institute,WGS,Illumina,138.0x,allpaths v. R48559,,,7,4683115,55.24,4498,4384,Unknown/Unclear,2014,Unknown,Unknown,Human,Sequencing of Carbapenem resistant bacteria Genome sequencing,,
48,550.732,Enterobacter cloacae strain e1562,550,WGS,e1562,2016-04-05T00:00:00Z,PRJEB5065,SAMEA2273380,GCF_900075875.1,FJZM00000000,SC,WGS,,,,,,65,4903953,54.98,4775,4612,Other,1800-2014,United Kingdom,United Kingdom,Human,"http://www.sanger.ac.uk/resources/downloads/bacteria/ These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/ This data is from bacterial isolates collected in the BSAC Resistance Surveillance Project. Please see www.bsacsurv.org for details and availability.",cambridgeid:MDR0297,
49,550.668,Enterobacter cloacae strain e1198,550,WGS,e1198,2016-04-05T00:00:00Z,PRJEB5065,SAMEA2273306,GCF_900075215.1,FJXF00000000,SC,WGS,,,,,,62,4790146,55.48,4663,4478,Other,1800-2014,United Kingdom,United Kingdom,Human,"http://www.sanger.ac.uk/resources/downloads/bacteria/ These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/ This data is from bacterial isolates collected in the BSAC Resistance Surveillance Project. Please see www.bsacsurv.org for details and availability.",cambridgeid:MDR0217,
50,158836.1778,Enterobacter hormaechei FUJ80181,158836,WGS,FUJ80181,2022-06-04T00:00:00Z,PRJDB13516,SAMD00490863,,BRIJ00000000,,WGS,NextSeq,172x,SPAdes v. 1.13.1,0,0,114,5026105,54.57763,4883,,Other,2018-09-07,Japan,Japan,Human,,,
51,550.730,Enterobacter cloacae strain e1556,550,WGS,e1556,2016-04-05T00:00:00Z,PRJEB5065,SAMEA2273379,GCF_900075855.1,FJZP00000000,SC,WGS,,,,,,84,5441589,55.37,5563,5294,Other,1800-2014,United Kingdom,United Kingdom,Human,"http://www.sanger.ac.uk/resources/downloads/bacteria/ These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/ This data is from bacterial isolates collected in the BSAC Resistance Surveillance Project. Please see www.bsacsurv.org for details and availability.",cambridgeid:MDR0296,
52,301105.11,Enterobacter hormaechei subsp. hormaechei strain ECC33,301105,Complete,ECC33,2022-09-19T00:00:00Z,PRJNA845926,SAMN28865091,GCA_025266795.1,"CP098486,CP098487,CP098488",Wenzhou Medical University,,Illumina HiSeq; PacBio,100.0x,SPAdes v. 3.14.1; Canu v. 2.1,1,2,3,4821919,55.17073,4663,4525,Unknown/Unclear,2019,China,China:Zhejiang,Human,a co-horbaring two MBLs Enterobacter cloacae complex strain ECC33,sample_type:mixed cultrue,2.0
53,550.725,Enterobacter cloacae strain e1488,550,WGS,e1488,2016-04-05T00:00:00Z,PRJEB5065,SAMEA2273364,GCF_900075805.1,FJZE00000000,SC,WGS,,,,,,54,5012105,54.72,4873,4675,Other,1800-2014,United Kingdom,United Kingdom,Human,"http://www.sanger.ac.uk/resources/downloads/bacteria/ These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/ This data is from bacterial isolates collected in the BSAC Resistance Surveillance Project. Please see www.bsacsurv.org for details and availability.",cambridgeid:MDR0282,
54,158836.163,Enterobacter hormaechei strain AUH-ENM8,158836,WGS,AUH-ENM8,2018-04-18T00:00:00Z,PRJNA438984,SAMN08737336,GCA_003056865.1,PYHD00000000,Lebanese American University,WGS,Illumina MiSeq,30.0x,SPAdes v. 3.9,,,88,4856492,55.418068,4680,,Unknown/Unclear,2017,Lebanon,Lebanon,Human,WGS-Enterobacter cloacae-ENM8-AUH,sample_type:whole genome,
55,550.699,Enterobacter cloacae strain e1340,550,WGS,e1340,2016-04-05T00:00:00Z,PRJEB5065,SAMEA2273337,GCF_900075545.1,FJYH00000000,SC,WGS,,,,,,81,5280397,54.25,5177,4932,Other,1800-2014,United Kingdom,United Kingdom,Human,"http://www.sanger.ac.uk/resources/downloads/bacteria/ These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/ This data is from bacterial isolates collected in the BSAC Resistance Surveillance Project. Please see www.bsacsurv.org for details and availability.",cambridgeid:MDR0253,
56,2494701.16,Enterobacter chengduensis AR1284,2494701,WGS,AR1284,2022-04-27T00:00:00Z,PRJNA801924,SAMN25419548,GCA_023152255.1,JAKMNK000000000,,WGS,Illumina,100x,Shovill v. 0.9.0,0,0,90,5079913,55.86334,4979,4780,Bodily Fluids,2018,China,China,Human,,collected_by:Yushan Cui,
57,550.467,Enterobacter cloacae strain 77_ECLO,550,WGS,77_ECLO,2015-07-10T00:00:00Z,PRJNA267549,SAMN03197979,GCF_001058415.1,JUTR00000000,University of Washington,WGS,Illumina HiSeq,24x,ABYSS v. 1.3.5,,,175,4918159,54.89,4791,,Unknown/Unclear,,USA,USA: WA,Human,Whole genome sequencing of bacterial isolates over a 1-year period from a hospital's intensive care units.,collected_by:UW clinical laboratory,
58,550.728,Enterobacter cloacae strain e1531,550,WGS,e1531,2016-04-05T00:00:00Z,PRJEB5065,SAMEA2273373,GCF_900075835.1,FJZJ00000000,SC,WGS,,,,,,51,4978076,55.25,4829,4636,Other,1800-2014,United Kingdom,United Kingdom,Human,"http://www.sanger.ac.uk/resources/downloads/bacteria/ These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/ This data is from bacterial isolates collected in the BSAC Resistance Surveillance Project. Please see www.bsacsurv.org for details and availability.",cambridgeid:MDR0290,
59,550.332,Enterobacter cloacae strain 44517,550,WGS,44517,2015-03-19T00:00:00Z,PRJNA259658,SAMN03283689,GCF_000958325.1,JZXX00000000,JCVI,WGS,Illumina HiSeq 2000,172.41x,SPAdes v. 3.1.1,,,151,5280295,55.03,5286,4949,Unknown/Unclear,2014,Colombia,Colombia,Human,"Carbapenem resistance in Enterobacteriacae is increasingly due to the presence of the KPC beta-lactamase, which can be transferred on several different plasmids. The project is designed to better understand the spread of the blaKPC gene and the genetic backgrounds in which it is carried.",collected_by:Barry Kreiswirth,
