,chrom_presence,location
Ebacter_C65777,1.0,chrom
Ebacter_C120702,1.0,chrom
Ebacter_C31723,0.9970414201183432,chrom
Ebacter_C27218,0.9977324263038548,chrom
Ebacter_C66700,1.0,chrom
Ebacter_C96808,1.0,chrom
Ebacter_C112231,1.0,chrom
Ebacter_C2082,1.0,chrom
Ebacter_C243,0.0,plasmid
Ebacter_C107963,1.0,chrom
Ebacter_C2896,1.0,chrom
Ebacter_C13275,1.0,chrom
Ebacter_C56300,1.0,chrom
Ebacter_C24938,1.0,chrom
Ebacter_C56922,1.0,chrom
Ebacter_C44063,1.0,chrom
Ebacter_C67098,1.0,chrom
Ebacter_C5732,1.0,chrom
Ebacter_C11398,1.0,chrom
Ebacter_C27564,0.9411764705882353,chrom
Ebacter_C111574,1.0,chrom
Ebacter_C63714,1.0,chrom
Ebacter_C21721,1.0,chrom
Ebacter_C73901,1.0,chrom
Ebacter_C94762,0.9859154929577465,chrom
Ebacter_C49978,0.05333333333333334,plasmid
Ebacter_C9029,1.0,chrom
Ebacter_C32612,1.0,chrom
Ebacter_C46935,0.5789473684210527,chrom
Ebacter_C34383,0.9946380697050938,chrom
Ebacter_C85174,0.9948186528497409,chrom
Ebacter_C101008,1.0,chrom
Ebacter_C35918,0.9956521739130435,chrom
Ebacter_C65932,1.0,chrom
Ebacter_C29995,1.0,chrom
Ebacter_C10519,0.03361344537815126,plasmid
Ebacter_C33047,1.0,chrom
Ebacter_C15230,1.0,chrom
Ebacter_C116206,1.0,chrom
Ebacter_C17960,1.0,chrom
Ebacter_C16857,1.0,chrom
Ebacter_C8290,1.0,chrom
Ebacter_C6644,0.9927797833935018,chrom
Ebacter_C65204,1.0,chrom
Ebacter_C15753,0.996078431372549,chrom
Ebacter_C39449,0.9962546816479401,chrom
Ebacter_C10235,0.0,plasmid
Ebacter_C38235,1.0,chrom
Ebacter_C33518,1.0,chrom
Ebacter_C122954,1.0,chrom
Ebacter_C90852,1.0,chrom
Ebacter_C44909,0.9978213507625272,chrom
Ebacter_C22062,0.9964912280701754,chrom
Ebacter_C65694,1.0,chrom
Ebacter_C17631,1.0,chrom
Ebacter_C15524,0.9962825278810409,chrom
Ebacter_C10175,1.0,chrom
Ebacter_C53524,0.995,chrom
Ebacter_C92935,1.0,chrom
Ebacter_C24461,1.0,chrom
Ebacter_C36355,0.9945945945945946,chrom
Ebacter_C118610,1.0,chrom
Ebacter_C19484,1.0,chrom
Ebacter_C28113,1.0,chrom
Ebacter_C96111,0.9852941176470589,chrom
Ebacter_C9928,1.0,chrom
Ebacter_C75006,0.32978723404255317,plasmid
Ebacter_C114038,0.05185185185185185,plasmid
Ebacter_C114529,0.03076923076923077,plasmid
Ebacter_C12664,1.0,chrom
Ebacter_C21198,1.0,chrom
Ebacter_C99408,0.9333333333333333,chrom
Ebacter_C101338,0.9975845410628019,chrom
Ebacter_C24849,0.9966442953020134,chrom
Ebacter_C78643,0.9958847736625515,chrom
Ebacter_C88604,1.0,chrom
Ebacter_C30925,1.0,chrom
Ebacter_C8183,1.0,chrom
Ebacter_C88866,1.0,chrom
Ebacter_C32142,0.6842105263157895,chrom
Ebacter_C20839,0.9916666666666667,chrom
Ebacter_C72668,1.0,chrom
Ebacter_C1548,0.0,plasmid
Ebacter_C69476,1.0,chrom
Ebacter_C3753,1.0,chrom
Ebacter_C59915,0.059322033898305086,plasmid
Ebacter_C85185,0.7355371900826446,chrom
Ebacter_C18661,0.046153846153846156,plasmid
Ebacter_C85594,1.0,chrom
Ebacter_C70711,1.0,chrom
Ebacter_C77965,1.0,chrom
Ebacter_C40236,0.9973262032085561,chrom
Ebacter_C86154,1.0,chrom
Ebacter_C2219,0.995,chrom
Ebacter_C24375,1.0,chrom
Ebacter_C82767,0.8571428571428571,chrom
Ebacter_C119943,0.9957627118644068,chrom
Ebacter_C78530,0.9975903614457832,chrom
Ebacter_C120706,1.0,chrom
Ebacter_C11104,1.0,chrom
Ebacter_C80315,1.0,chrom
Ebacter_C11422,0.9977116704805492,chrom
Ebacter_C5247,1.0,chrom
Ebacter_C52637,1.0,chrom
Ebacter_C125563,1.0,chrom
Ebacter_C72673,1.0,chrom
Ebacter_C36448,1.0,chrom
Ebacter_C42701,0.7435064935064936,chrom
Ebacter_C29828,1.0,chrom
Ebacter_C47777,0.11627906976744186,plasmid
Ebacter_C62569,1.0,chrom
Ebacter_C75480,1.0,chrom
Ebacter_C67850,1.0,chrom
Ebacter_C128351,1.0,chrom
Ebacter_C20809,0.2937062937062937,plasmid
Ebacter_C75831,0.7160493827160493,chrom
Ebacter_C19699,1.0,chrom
Ebacter_C789,1.0,chrom
Ebacter_C33237,0.9951219512195122,chrom
Ebacter_C64460,0.7196969696969697,chrom
Ebacter_C1833,1.0,chrom
Ebacter_C10640,1.0,chrom
Ebacter_C84845,0.9868421052631579,chrom
Ebacter_C17707,1.0,chrom
Ebacter_C27004,1.0,chrom
Ebacter_C86936,1.0,chrom
Ebacter_C15145,1.0,chrom
Ebacter_C21753,1.0,chrom
Ebacter_C14938,0.9965986394557823,chrom
Ebacter_C68726,1.0,chrom
Ebacter_C83918,1.0,chrom
Ebacter_C65594,1.0,chrom
Ebacter_C12359,1.0,chrom
Ebacter_C43790,1.0,chrom
Ebacter_C56177,0.9917355371900827,chrom
Ebacter_C25270,0.9965986394557823,chrom
Ebacter_C17625,1.0,chrom
Ebacter_C71056,1.0,chrom
Ebacter_C11020,0.9508196721311475,chrom
Ebacter_C49931,0.9970326409495549,chrom
Ebacter_C967,1.0,chrom
Ebacter_C43569,1.0,chrom
Ebacter_C27491,1.0,chrom
Ebacter_C12667,1.0,chrom
Ebacter_C88368,1.0,chrom
Ebacter_C57933,0.0670391061452514,plasmid
Ebacter_C35914,1.0,chrom
Ebacter_C75823,1.0,chrom
Ebacter_C2261,1.0,chrom
Ebacter_C87803,1.0,chrom
Ebacter_C30862,0.96,chrom
Ebacter_C33461,1.0,chrom
Ebacter_C53823,1.0,chrom
Ebacter_C64239,1.0,chrom
Ebacter_C113733,1.0,chrom
Ebacter_C21256,0.9722222222222222,chrom
Ebacter_C52078,0.08571428571428572,plasmid
Ebacter_C101281,1.0,chrom
Ebacter_C32307,1.0,chrom
Ebacter_C21263,0.0,plasmid
Ebacter_C40215,0.9782608695652174,chrom
Ebacter_C38644,0.9977064220183486,chrom
Ebacter_C18765,0.9970149253731343,chrom
Ebacter_C122956,1.0,chrom
Ebacter_C84984,1.0,chrom
Ebacter_C10324,0.027777777777777776,plasmid
Ebacter_C20558,0.9975429975429976,chrom
Ebacter_C35811,0.9966442953020134,chrom
Ebacter_C48886,0.9951456310679612,chrom
Ebacter_C44818,1.0,chrom
Ebacter_C38718,1.0,chrom
Ebacter_C36774,1.0,chrom
Ebacter_C58357,1.0,chrom
Ebacter_C48636,1.0,chrom
Ebacter_C16016,0.9977116704805492,chrom
Ebacter_C3625,1.0,chrom
Ebacter_C38731,1.0,chrom
Ebacter_C79454,0.16842105263157894,plasmid
Ebacter_C13071,1.0,chrom
Ebacter_C100967,1.0,chrom
Ebacter_C28914,0.044444444444444446,plasmid
Ebacter_C23441,1.0,chrom
Ebacter_C93205,0.2887323943661972,plasmid
Ebacter_C30591,0.9863013698630136,chrom
Ebacter_C10375,0.9978118161925602,chrom
Ebacter_C121884,1.0,chrom
Ebacter_C84738,0.056,plasmid
Ebacter_C61627,1.0,chrom
Ebacter_C23845,0.04032258064516129,plasmid
Ebacter_C125255,1.0,chrom
Ebacter_C91501,1.0,chrom
Ebacter_C39582,0.0,plasmid
Ebacter_C2036,1.0,chrom
Ebacter_C22227,1.0,chrom
Ebacter_C41377,1.0,chrom
Ebacter_C19289,1.0,chrom
Ebacter_C24619,0.9972972972972973,chrom
Ebacter_C86656,1.0,chrom
Ebacter_C29197,1.0,chrom
Ebacter_C23033,1.0,chrom
Ebacter_C81012,0.9841269841269841,chrom
Ebacter_C38130,1.0,chrom
Ebacter_C86910,0.4864864864864865,plasmid
Ebacter_C89281,0.9962825278810409,chrom
Ebacter_C72410,1.0,chrom
Ebacter_C45864,0.1724137931034483,plasmid
Ebacter_C14852,1.0,chrom
Ebacter_C39360,0.9975429975429976,chrom
Ebacter_C10079,0.9963768115942029,chrom
Ebacter_C763,1.0,chrom
Ebacter_C15593,1.0,chrom
Ebacter_C128273,1.0,chrom
Ebacter_C49583,0.996969696969697,chrom
Ebacter_C2407,1.0,chrom
Ebacter_C96047,0.04,plasmid
Ebacter_C4230,1.0,chrom
Ebacter_C10959,1.0,chrom
Ebacter_C30279,1.0,chrom
Ebacter_C100488,0.9787234042553191,chrom
Ebacter_C7380,0.9934640522875817,chrom
Ebacter_C43912,0.07100591715976332,plasmid
Ebacter_C99615,1.0,chrom
Ebacter_C41794,0.06015037593984962,plasmid
Ebacter_C75496,1.0,chrom
Ebacter_C109771,1.0,chrom
Ebacter_C104319,1.0,chrom
Ebacter_C17706,0.9836065573770492,chrom
Ebacter_C106617,0.05982905982905983,plasmid
Ebacter_C105674,1.0,chrom
Ebacter_C3063,1.0,chrom
Ebacter_C53560,1.0,chrom
Ebacter_C77106,1.0,chrom
Ebacter_C54722,1.0,chrom
Ebacter_C5361,1.0,chrom
Ebacter_C37150,0.08823529411764706,plasmid
Ebacter_C5131,1.0,chrom
Ebacter_C18326,1.0,chrom
Ebacter_C86916,1.0,chrom
Ebacter_C26805,0.9938271604938271,chrom
Ebacter_C77501,0.058823529411764705,plasmid
Ebacter_C3276,1.0,chrom
Ebacter_C25843,1.0,chrom
Ebacter_C25168,1.0,chrom
Ebacter_C38421,0.9974811083123426,chrom
Ebacter_C24581,1.0,chrom
Ebacter_C3896,1.0,chrom
Ebacter_C75871,0.0,plasmid
Ebacter_C32283,1.0,chrom
Ebacter_C25358,1.0,chrom
Ebacter_C51586,1.0,chrom
Ebacter_C125260,0.01818181818181818,plasmid
Ebacter_C116196,1.0,chrom
Ebacter_C4846,1.0,chrom
Ebacter_C113426,0.9736842105263158,chrom
Ebacter_C53715,0.152317880794702,plasmid
Ebacter_C7143,1.0,chrom
Ebacter_C12453,1.0,chrom
Ebacter_C16820,0.0,plasmid
Ebacter_C31920,1.0,chrom
Ebacter_C83582,1.0,chrom
Ebacter_C18591,1.0,chrom
Ebacter_C89125,1.0,chrom
Ebacter_C102757,0.038461538461538464,plasmid
Ebacter_C24979,1.0,chrom
Ebacter_C64799,1.0,chrom
Ebacter_C14949,1.0,chrom
Ebacter_C17164,1.0,chrom
Ebacter_C7224,1.0,chrom
Ebacter_C95001,0.5306122448979592,chrom
Ebacter_C48819,1.0,chrom
Ebacter_C75446,0.9975429975429976,chrom
Ebacter_C39018,1.0,chrom
Ebacter_C15175,1.0,chrom
Ebacter_C32646,1.0,chrom
Ebacter_C54448,1.0,chrom
Ebacter_C61868,0.9974226804123711,chrom
Ebacter_C27312,1.0,chrom
Ebacter_C13271,1.0,chrom
Ebacter_C5545,1.0,chrom
Ebacter_C17262,0.9976470588235294,chrom
Ebacter_C37637,0.0,plasmid
Ebacter_C1276,0.8278688524590164,chrom
Ebacter_C52972,1.0,chrom
Ebacter_C52919,1.0,chrom
Ebacter_C76386,0.047619047619047616,plasmid
Ebacter_C31362,1.0,chrom
Ebacter_C34023,1.0,chrom
Ebacter_C29756,1.0,chrom
Ebacter_C19081,1.0,chrom
Ebacter_C36201,1.0,chrom
Ebacter_C73248,0.99,chrom
Ebacter_C92255,1.0,chrom
Ebacter_C109169,0.11764705882352941,plasmid
Ebacter_C114505,1.0,chrom
Ebacter_C33427,0.2,plasmid
Ebacter_C95171,1.0,chrom
Ebacter_C48660,0.9976958525345622,chrom
Ebacter_C40938,0.06153846153846154,plasmid
Ebacter_C66708,1.0,chrom
Ebacter_C37159,0.9838709677419355,chrom
Ebacter_C1189,1.0,chrom
Ebacter_C81264,0.9878048780487805,chrom
Ebacter_C32689,1.0,chrom
Ebacter_C11328,1.0,chrom
Ebacter_C8303,0.9777777777777777,chrom
Ebacter_C84612,0.9953051643192489,chrom
Ebacter_C12307,1.0,chrom
Ebacter_C38005,0.9961538461538462,chrom
Ebacter_C24836,1.0,chrom
Ebacter_C30131,1.0,chrom
Ebacter_C106935,1.0,chrom
Ebacter_C14635,1.0,chrom
Ebacter_C63505,1.0,chrom
Ebacter_C14873,1.0,chrom
Ebacter_C27005,1.0,chrom
Ebacter_C44322,0.0,plasmid
Ebacter_C101913,0.9956331877729258,chrom
Ebacter_C65564,0.031496062992125984,plasmid
Ebacter_C71141,1.0,chrom
Ebacter_C18692,1.0,chrom
Ebacter_C125567,1.0,chrom
Ebacter_C26048,1.0,chrom
Ebacter_C110959,1.0,chrom
Ebacter_C22136,1.0,chrom
Ebacter_C23158,0.6958041958041958,chrom
Ebacter_C109311,1.0,chrom
Ebacter_C20306,0.05,plasmid
Ebacter_C16880,0.9903846153846154,chrom
Ebacter_C20344,0.9919678714859438,chrom
Ebacter_C12857,1.0,chrom
Ebacter_C48287,1.0,chrom
Ebacter_C8811,1.0,chrom
Ebacter_C61099,0.0,plasmid
Ebacter_C46211,0.049586776859504134,plasmid
Ebacter_C4296,0.9961832061068703,chrom
Ebacter_C35030,0.9976359338061466,chrom
Ebacter_C107364,1.0,chrom
Ebacter_C112200,1.0,chrom
Ebacter_C121452,0.9925373134328358,chrom
Ebacter_C27684,1.0,chrom
Ebacter_C121445,1.0,chrom
Ebacter_C18991,1.0,chrom
Ebacter_C3,1.0,chrom
Ebacter_C91467,0.05343511450381679,plasmid
Ebacter_C106460,0.9876543209876543,chrom
Ebacter_C97458,1.0,chrom
Ebacter_C55676,0.9972067039106145,chrom
Ebacter_C6543,1.0,chrom
Ebacter_C35819,0.997134670487106,chrom
Ebacter_C53280,1.0,chrom
Ebacter_C37441,1.0,chrom
Ebacter_C107163,1.0,chrom
Ebacter_C29597,1.0,chrom
Ebacter_C48129,1.0,chrom
Ebacter_C20611,1.0,chrom
Ebacter_C48550,1.0,chrom
Ebacter_C14544,0.9978213507625272,chrom
Ebacter_C45216,1.0,chrom
Ebacter_C7659,1.0,chrom
Ebacter_C91832,0.0603448275862069,plasmid
Ebacter_C34921,0.9969418960244648,chrom
Ebacter_C2916,1.0,chrom
Ebacter_C109525,0.056,plasmid
Ebacter_C11923,1.0,chrom
Ebacter_C80048,1.0,chrom
Ebacter_C28109,1.0,chrom
Ebacter_C4272,0.995049504950495,chrom
Ebacter_C6043,1.0,chrom
Ebacter_C6759,0.9791666666666666,chrom
Ebacter_C85625,1.0,chrom
Ebacter_C93802,1.0,chrom
Ebacter_C18368,1.0,chrom
Ebacter_C13847,1.0,chrom
Ebacter_C97809,1.0,chrom
Ebacter_C8949,0.17757009345794392,plasmid
Ebacter_C53817,1.0,chrom
Ebacter_C60639,1.0,chrom
Ebacter_C6441,0.9761904761904762,chrom
Ebacter_C4040,0.9968553459119497,chrom
Ebacter_C9839,1.0,chrom
Ebacter_C81893,0.0,plasmid
Ebacter_C21066,1.0,chrom
Ebacter_C30226,0.9910714285714286,chrom
Ebacter_C8306,0.9968253968253968,chrom
Ebacter_C33415,1.0,chrom
Ebacter_C97921,1.0,chrom
Ebacter_C3067,1.0,chrom
Ebacter_C74302,0.031007751937984496,plasmid
Ebacter_C41992,1.0,chrom
Ebacter_C32524,0.0,plasmid
Ebacter_C44330,0.9714285714285714,chrom
Ebacter_C53172,1.0,chrom
Ebacter_C17140,0.9978213507625272,chrom
Ebacter_C840,1.0,chrom
Ebacter_C88610,1.0,chrom
Ebacter_C84764,0.9791666666666666,chrom
Ebacter_C99410,1.0,chrom
Ebacter_C10192,1.0,chrom
Ebacter_C17568,0.9948849104859335,chrom
Ebacter_C34272,1.0,chrom
Ebacter_C54120,1.0,chrom
Ebacter_C14329,1.0,chrom
Ebacter_C7211,0.9924528301886792,chrom
Ebacter_C58024,1.0,chrom
Ebacter_C49587,1.0,chrom
Ebacter_C14792,1.0,chrom
Ebacter_C32555,0.9963503649635036,chrom
Ebacter_C3791,0.9962546816479401,chrom
Ebacter_C62234,0.9838709677419355,chrom
Ebacter_C15168,0.0650887573964497,plasmid
Ebacter_C96268,0.996,chrom
Ebacter_C10903,1.0,chrom
Ebacter_C2366,1.0,chrom
Ebacter_C31302,0.9977973568281938,chrom
Ebacter_C27750,0.9944444444444445,chrom
Ebacter_C10469,1.0,chrom
Ebacter_C78313,0.9974619289340102,chrom
Ebacter_C25503,1.0,chrom
Ebacter_C12869,1.0,chrom
Ebacter_C3853,1.0,chrom
Ebacter_C4763,1.0,chrom
Ebacter_C18175,1.0,chrom
Ebacter_C64091,1.0,chrom
Ebacter_C68518,1.0,chrom
Ebacter_C73540,1.0,chrom
Ebacter_C88267,1.0,chrom
Ebacter_C73219,0.9736842105263158,chrom
Ebacter_C76723,0.0851063829787234,plasmid
Ebacter_C72893,0.03571428571428571,plasmid
Ebacter_C78065,1.0,chrom
Ebacter_C10869,0.9974683544303797,chrom
Ebacter_C102767,0.0,plasmid
Ebacter_C14028,1.0,chrom
Ebacter_C36023,0.0,plasmid
Ebacter_C74657,0.9841269841269841,chrom
Ebacter_C64464,1.0,chrom
Ebacter_C69141,0.9976905311778291,chrom
Ebacter_C29407,1.0,chrom
Ebacter_C34751,0.9950738916256158,chrom
Ebacter_C59604,1.0,chrom
Ebacter_C1490,0.9791666666666666,chrom
Ebacter_C27581,1.0,chrom
Ebacter_C75828,0.05785123966942149,plasmid
Ebacter_C37060,1.0,chrom
Ebacter_C9727,0.023255813953488372,plasmid
Ebacter_C52077,0.7407407407407407,chrom
Ebacter_C31250,0.9959183673469387,chrom
Ebacter_C124947,0.9761904761904762,chrom
Ebacter_C59736,0.9965156794425087,chrom
Ebacter_C32344,1.0,chrom
Ebacter_C64056,1.0,chrom
Ebacter_C26995,0.9882352941176471,chrom
Ebacter_C42408,1.0,chrom
Ebacter_C3073,1.0,chrom
Ebacter_C13947,1.0,chrom
Ebacter_C23488,1.0,chrom
Ebacter_C18028,0.9946236559139785,chrom
Ebacter_C8914,1.0,chrom
Ebacter_C69909,0.9818181818181818,chrom
Ebacter_C81823,1.0,chrom
Ebacter_C100999,1.0,chrom
Ebacter_C90465,1.0,chrom
Ebacter_C20132,0.9956043956043956,chrom
Ebacter_C7277,0.9977924944812362,chrom
Ebacter_C18498,1.0,chrom
Ebacter_C10233,1.0,chrom
Ebacter_C75011,0.6302083333333334,chrom
Ebacter_C117206,1.0,chrom
Ebacter_C3434,1.0,chrom
Ebacter_C57603,1.0,chrom
Ebacter_C27469,0.032520325203252036,plasmid
Ebacter_C117204,1.0,chrom
Ebacter_C69474,1.0,chrom
Ebacter_C78605,0.8108108108108109,chrom
Ebacter_C5924,1.0,chrom
Ebacter_C79912,1.0,chrom
Ebacter_C71704,0.06741573033707865,plasmid
Ebacter_C128289,1.0,chrom
Ebacter_C32000,1.0,chrom
Ebacter_C22094,0.9959839357429718,chrom
Ebacter_C25447,1.0,chrom
Ebacter_C60132,1.0,chrom
Ebacter_C47212,1.0,chrom
Ebacter_C2854,0.9977924944812362,chrom
Ebacter_C60649,1.0,chrom
Ebacter_C91873,1.0,chrom
Ebacter_C61162,0.9947089947089947,chrom
Ebacter_C33117,1.0,chrom
Ebacter_C23619,0.9782608695652174,chrom
Ebacter_C17617,1.0,chrom
Ebacter_C73925,1.0,chrom
Ebacter_C22892,1.0,chrom
Ebacter_C63715,1.0,chrom
Ebacter_C4824,0.06504065040650407,plasmid
Ebacter_C38358,1.0,chrom
Ebacter_C99933,1.0,chrom
Ebacter_C66576,1.0,chrom
Ebacter_C57147,1.0,chrom
Ebacter_C37917,1.0,chrom
Ebacter_C22043,0.9722222222222222,chrom
Ebacter_C91849,1.0,chrom
Ebacter_C44083,1.0,chrom
Ebacter_C73254,1.0,chrom
Ebacter_C113381,1.0,chrom
Ebacter_C53834,1.0,chrom
Ebacter_C73126,0.996309963099631,chrom
Ebacter_C46671,0.9932885906040269,chrom
Ebacter_C108611,0.0,plasmid
Ebacter_C90470,1.0,chrom
Ebacter_C34758,1.0,chrom
Ebacter_C65780,1.0,chrom
Ebacter_C50212,1.0,chrom
Ebacter_C86826,1.0,chrom
Ebacter_C12839,0.9956236323851203,chrom
Ebacter_C66383,1.0,chrom
Ebacter_C49865,0.030303030303030304,plasmid
Ebacter_C12974,1.0,chrom
Ebacter_C115639,0.18867924528301888,plasmid
Ebacter_C38509,1.0,chrom
Ebacter_C5819,1.0,chrom
Ebacter_C15054,1.0,chrom
Ebacter_C51230,0.35353535353535354,plasmid
Ebacter_C106128,0.16216216216216217,plasmid
Ebacter_C13748,1.0,chrom
Ebacter_C55347,0.9932885906040269,chrom
Ebacter_C64213,1.0,chrom
Ebacter_C105996,1.0,chrom
Ebacter_C96692,1.0,chrom
Ebacter_C26881,1.0,chrom
Ebacter_C103303,0.07692307692307693,plasmid
Ebacter_C96263,0.07142857142857142,plasmid
Ebacter_C77507,0.9978165938864629,chrom
Ebacter_C80232,1.0,chrom
Ebacter_C64457,0.031496062992125984,plasmid
Ebacter_C2201,0.045454545454545456,plasmid
Ebacter_C61867,1.0,chrom
Ebacter_C85179,1.0,chrom
Ebacter_C62743,1.0,chrom
Ebacter_C3463,1.0,chrom
Ebacter_C84334,1.0,chrom
Ebacter_C55349,1.0,chrom
Ebacter_C47919,1.0,chrom
Ebacter_C41281,1.0,chrom
Ebacter_C59596,1.0,chrom
Ebacter_C25893,1.0,chrom
Ebacter_C42082,1.0,chrom
Ebacter_C105044,1.0,chrom
Ebacter_C107395,1.0,chrom
Ebacter_C113240,0.0,plasmid
Ebacter_C122228,1.0,chrom
Ebacter_C56352,1.0,chrom
Ebacter_C20135,0.03508771929824561,plasmid
Ebacter_C105043,0.9963369963369964,chrom
Ebacter_C124273,1.0,chrom
Ebacter_C61264,1.0,chrom
Ebacter_C111999,1.0,chrom
Ebacter_C34386,0.06060606060606061,plasmid
Ebacter_C54037,0.06060606060606061,plasmid
Ebacter_C3568,1.0,chrom
Ebacter_C44809,1.0,chrom
Ebacter_C16003,1.0,chrom
Ebacter_C33383,1.0,chrom
Ebacter_C26639,0.0,plasmid
Ebacter_C117397,1.0,chrom
Ebacter_C92014,1.0,chrom
Ebacter_C14105,1.0,chrom
Ebacter_C28755,1.0,chrom
Ebacter_C45477,0.23214285714285715,plasmid
Ebacter_C40932,1.0,chrom
Ebacter_C101015,1.0,chrom
Ebacter_C71142,1.0,chrom
Ebacter_C46824,1.0,chrom
Ebacter_C52980,1.0,chrom
Ebacter_C101085,1.0,chrom
Ebacter_C12135,0.9736842105263158,chrom
Ebacter_C57931,1.0,chrom
Ebacter_C7116,1.0,chrom
Ebacter_C16338,0.9967320261437909,chrom
Ebacter_C88254,0.0,plasmid
Ebacter_C100551,0.03669724770642202,plasmid
Ebacter_C121458,1.0,chrom
Ebacter_C127049,1.0,chrom
Ebacter_C28132,1.0,chrom
Ebacter_C31733,0.7238805970149254,chrom
Ebacter_C24451,0.0,plasmid
Ebacter_C75551,0.9714285714285714,chrom
Ebacter_C28743,0.7196969696969697,chrom
Ebacter_C39785,1.0,chrom
Ebacter_C95721,1.0,chrom
Ebacter_C47459,1.0,chrom
Ebacter_C74979,1.0,chrom
Ebacter_C41380,1.0,chrom
Ebacter_C98852,0.9958677685950413,chrom
Ebacter_C114565,0.9743589743589743,chrom
Ebacter_C1608,0.12422360248447205,plasmid
Ebacter_C7893,1.0,chrom
Ebacter_C40798,0.9777777777777777,chrom
Ebacter_C86907,0.03125,plasmid
Ebacter_C36384,1.0,chrom
Ebacter_C48831,0.0,plasmid
Ebacter_C9873,1.0,chrom
Ebacter_C57708,1.0,chrom
Ebacter_C32560,1.0,chrom
Ebacter_C25275,0.024390243902439025,plasmid
Ebacter_C50888,1.0,chrom
Ebacter_C36837,1.0,chrom
Ebacter_C128285,1.0,chrom
Ebacter_C10088,0.9962825278810409,chrom
Ebacter_C86446,1.0,chrom
Ebacter_C10475,1.0,chrom
Ebacter_C26369,1.0,chrom
Ebacter_C2907,0.04597701149425287,plasmid
Ebacter_C3935,1.0,chrom
Ebacter_C5253,1.0,chrom
Ebacter_C114380,1.0,chrom
Ebacter_C124938,0.056,plasmid
Ebacter_C16108,1.0,chrom
Ebacter_C14830,0.9920318725099602,chrom
Ebacter_C94299,1.0,chrom
Ebacter_C89617,0.0,plasmid
Ebacter_C28397,0.9976076555023924,chrom
Ebacter_C20674,1.0,chrom
Ebacter_C113371,0.05426356589147287,plasmid
Ebacter_C22646,0.9736842105263158,chrom
Ebacter_C76740,1.0,chrom
Ebacter_C88602,1.0,chrom
Ebacter_C62617,0.8113207547169812,chrom
Ebacter_C19291,1.0,chrom
Ebacter_C13574,0.9977578475336323,chrom
Ebacter_C65707,1.0,chrom
Ebacter_C5614,0.9970674486803519,chrom
Ebacter_C77033,1.0,chrom
Ebacter_C42444,1.0,chrom
Ebacter_C61880,0.0,plasmid
Ebacter_C41861,1.0,chrom
Ebacter_C17774,1.0,chrom
Ebacter_C112205,1.0,chrom
Ebacter_C3273,1.0,chrom
Ebacter_C41409,1.0,chrom
Ebacter_C43547,0.0,plasmid
Ebacter_C23944,0.9953596287703016,chrom
Ebacter_C84757,0.9777777777777777,chrom
Ebacter_C26707,1.0,chrom
Ebacter_C40468,0.7218045112781954,chrom
Ebacter_C3915,1.0,chrom
Ebacter_C11764,0.0967741935483871,plasmid
Ebacter_C72407,1.0,chrom
Ebacter_C92461,1.0,chrom
Ebacter_C92228,1.0,chrom
Ebacter_C16833,1.0,chrom
Ebacter_C118977,1.0,chrom
Ebacter_C69204,1.0,chrom
Ebacter_C64796,1.0,chrom
Ebacter_C28925,1.0,chrom
Ebacter_C20091,1.0,chrom
Ebacter_C32060,1.0,chrom
Ebacter_C24364,0.9714285714285714,chrom
Ebacter_C47066,1.0,chrom
