Gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,mobile-1,mobile-4,mobile-2,mobile-3,mobile-10,mobile-7,mobile-6,mobile-5,mobile-8,mobile-9,roggenkampii,asburiae-1,asburiae-2,cancerogenous,kobei,bugandensis,mori,ludwigii,cloacae,hormaechei-steigerwaltii-2,hormaechei-steigerwaltii-4,hormaechei-steigerwaltii-1,hormaechei-steigerwaltii-3,hormaechei-hoffmannii-1,hormaechei-hoffmannii-2,hormaechei-hoffmannii-3,hormaechei-hormaechei,hormaechei-oharae,hormaechei-xiangfangensis-2,hormaechei-xiangfangensis-1,hormaechei-xiangfangensis-3,phylon_list
group_36124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hormaechei-steigerwaltii-2
group_48618,group_48618,399742.Ent638_3491,5.839999999999999e-48,154.0,"2EPSH@1|root,317A3@2|Bacteria,1Q7Z5@1224|Proteobacteria,1RTY1@1236|Gammaproteobacteria,3X3YG@547|Enterobacter",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,hormaechei-xiangfangensis-2
group_37379,group_37379,716541.ECL_00043,7.2e-125,355.0,"COG3832@1|root,COG3832@2|Bacteria,1RAAH@1224|Proteobacteria,1S2P4@1236|Gammaproteobacteria,3X34M@547|Enterobacter",2|Bacteria,J,glyoxalase III activity,-,-,-,-,-,-,-,-,-,-,-,-,Polyketide_cyc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,cloacae;hormaechei-steigerwaltii-2;hormaechei-steigerwaltii-4;hormaechei-steigerwaltii-1;hormaechei-steigerwaltii-3;hormaechei-oharae;hormaechei-xiangfangensis-2;hormaechei-xiangfangensis-1;hormaechei-xiangfangensis-3
group_36235,group_36235,1005994.GTGU_00167,1.2400000000000001e-29,106.0,"2FBY3@1|root,3442G@2|Bacteria,1P2WV@1224|Proteobacteria,1SSCZ@1236|Gammaproteobacteria",2|Bacteria,S,Protein involved in biological_process,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hormaechei-steigerwaltii-2
minD~~~parA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-6
group_39418,group_39418,1045856.EcWSU1_03028,0.0,1014.0,"COG0489@1|root,COG3206@1|root,COG0489@2|Bacteria,COG3206@2|Bacteria,1MVI9@1224|Proteobacteria,1RNB0@1236|Gammaproteobacteria,3X34W@547|Enterobacter",2|Bacteria,M,G-rich domain on putative tyrosine kinase,wzc,"GO:0003674,GO:0003824,GO:0004672,GO:0004713,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016021,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018108,GO:0018193,GO:0018212,GO:0019538,GO:0031224,GO:0036211,GO:0038083,GO:0042802,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044425,GO:0044464,GO:0046777,GO:0071704,GO:0071944,GO:0140096,GO:1901564",-,ko:K16692,-,-,-,-,"ko00000,ko01000,ko01001",-,-,-,"AAA_31,GNVR,Wzz",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,roggenkampii;asburiae-1;asburiae-2;kobei;bugandensis;ludwigii
group_45776,group_45776,1045856.EcWSU1_02250,1.45e-98,287.0,"COG3499@1|root,COG3499@2|Bacteria,1MZJ7@1224|Proteobacteria,1S3NI@1236|Gammaproteobacteria,3X34G@547|Enterobacter",2|Bacteria,S,Phage P2 GpU,gpU,-,-,ko:K06906,-,-,-,-,ko00000,-,-,-,Phage_P2_GpU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,hormaechei-xiangfangensis-2
group_2226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
scsB~~~dsbD,scsB~~~dsbD,640513.Entas_3583,0.0,1158.0,"COG4232@1|root,COG4233@1|root,COG4232@2|Bacteria,COG4233@2|Bacteria,1MU8W@1224|Proteobacteria,1RPF7@1236|Gammaproteobacteria,3X01S@547|Enterobacter",2|Bacteria,CO,Thioredoxin-like,dsbD,-,1.8.1.8,"ko:K04084,ko:K08344",-,-,-,-,"ko00000,ko01000,ko02000,ko03110","5.A.1.1,5.A.1.5",-,-,"DsbC,DsbD,Thioredoxin_7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,mori;hormaechei-steigerwaltii-2;hormaechei-steigerwaltii-1;hormaechei-steigerwaltii-3;hormaechei-hoffmannii-1;hormaechei-hoffmannii-2;hormaechei-hoffmannii-3;hormaechei-hormaechei;hormaechei-oharae;hormaechei-xiangfangensis-2;hormaechei-xiangfangensis-1;hormaechei-xiangfangensis-3
group_45488,group_45488,1399774.JDWH01000002_gene3224,1.8899999999999998e-205,570.0,"COG1176@1|root,COG1176@2|Bacteria,1NU6V@1224|Proteobacteria,1RZ7V@1236|Gammaproteobacteria,3X1B5@547|Enterobacter",2|Bacteria,P,PFAM binding-protein-dependent transport systems inner membrane component,ydcU,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,"ko:K02054,ko:K11071","ko02010,ko02024,map02010,map02024","M00193,M00299",-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.11,3.A.1.11.1",-,iEcSMS35_1347.EcSMS35_1732,BPD_transp_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,roggenkampii;asburiae-1;asburiae-2;cancerogenous;kobei;bugandensis;mori;ludwigii;cloacae
group_33306,group_33306,716541.ECL_00710,0.0,1018.0,"COG0477@1|root,COG0477@2|Bacteria,1MXZ3@1224|Proteobacteria,1RMM3@1236|Gammaproteobacteria,3X31F@547|Enterobacter",2|Bacteria,EGP,Transmembrane secretion effector,-,-,-,ko:K08217,-,-,-,-,"br01600,ko00000,ko01504,ko02000","2.A.1.21.1,2.A.1.21.22",-,-,MFS_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,roggenkampii;asburiae-1;asburiae-2;kobei;bugandensis;mori;cloacae;hormaechei-steigerwaltii-2;hormaechei-steigerwaltii-4;hormaechei-steigerwaltii-1;hormaechei-steigerwaltii-3;hormaechei-hoffmannii-1;hormaechei-hoffmannii-2;hormaechei-hoffmannii-3;hormaechei-oharae;hormaechei-xiangfangensis-2;hormaechei-xiangfangensis-1;hormaechei-xiangfangensis-3
group_29193,group_29193,1129374.AJE_08220,0.0,1031.0,"COG0399@1|root,COG0399@2|Bacteria,1MUMJ@1224|Proteobacteria,1RSDY@1236|Gammaproteobacteria,469FZ@72275|Alteromonadaceae",2|Bacteria,M,Transposase zinc-binding domain,-,-,-,-,-,-,-,-,-,-,-,-,"Y2_Tnp,Zn_Tnp_IS91",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
group_36618,group_36618,1045856.EcWSU1_04222,1.32e-116,333.0,"COG0454@1|root,COG0456@2|Bacteria,1QTY5@1224|Proteobacteria,1S6M9@1236|Gammaproteobacteria,3X28F@547|Enterobacter",2|Bacteria,K,PFAM GCN5-related N-acetyltransferase,yhhY,-,-,ko:K03825,-,-,-,-,"ko00000,ko01000",-,-,-,"Acetyltransf_1,Acetyltransf_4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ludwigii
group_43522,group_43522,1028307.EAE_02545,1.95e-208,582.0,"COG0753@1|root,COG0753@2|Bacteria,1MUXZ@1224|Proteobacteria,1RNE7@1236|Gammaproteobacteria,3X29M@547|Enterobacter",2|Bacteria,C,Has an organic peroxide-dependent peroxidase activity,srpA,-,1.11.1.6,ko:K03781,"ko00380,ko00630,ko01110,ko01130,ko01200,ko04011,ko04016,ko04068,ko04146,ko04211,ko04212,ko04213,ko05014,map00380,map00630,map01110,map01130,map01200,map04011,map04016,map04068,map04146,map04211,map04212,map04213,map05014",M00532,"R00009,R00602,R02670","RC00034,RC00767,RC02141,RC02755","ko00000,ko00001,ko00002,ko01000",-,-,-,Catalase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,roggenkampii;asburiae-1
group_1872,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-4
terZ~~~terX,terZ~~~terX,1484158.PSNIH1_20305,1.36e-144,409.0,"COG2310@1|root,COG2310@2|Bacteria,1MX8E@1224|Proteobacteria,1RY9S@1236|Gammaproteobacteria,3W22Q@53335|Pantoea",2|Bacteria,T,TerD domain,yceE,-,-,ko:K05795,-,-,-,-,ko00000,-,-,-,TerD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-1;mobile-4
xtmA,xtmA,1045856.EcWSU1_02425,1.2799999999999998e-140,413.0,"COG3728@1|root,COG3728@2|Bacteria,1R986@1224|Proteobacteria,1RYYD@1236|Gammaproteobacteria,3X2WC@547|Enterobacter",2|Bacteria,L,terminase small subunit,-,-,-,ko:K07474,-,-,-,-,ko00000,-,-,-,Terminase_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-5
group_40248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hormaechei-steigerwaltii-2
group_5442,group_5442,1484157.PSNIH2_18320,2.45e-88,266.0,"COG3121@1|root,COG3121@2|Bacteria,1Q6I1@1224|Proteobacteria,1S1FJ@1236|Gammaproteobacteria,3W0P6@53335|Pantoea",2|Bacteria,NU,assembly protein,-,-,-,"ko:K07346,ko:K15540",-,-,-,-,"ko00000,ko02035,ko02044,ko03110",-,-,-,"PapD_C,PapD_N",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,hormaechei-hoffmannii-1;hormaechei-hoffmannii-2;hormaechei-hoffmannii-3
group_46673,group_46673,371042.NG99_08640,4.93e-38,131.0,"2DMYG@1|root,32UDY@2|Bacteria,1MZZE@1224|Proteobacteria,1S9UH@1236|Gammaproteobacteria",2|Bacteria,S,Protein involved in biological_process,-,-,-,-,-,-,-,-,-,-,-,-,DUF1493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,hormaechei-steigerwaltii-4;hormaechei-oharae
group_40856,group_40856,716541.ECL_A151,7.01e-304,832.0,"COG3170@1|root,COG3170@2|Bacteria,1R935@1224|Proteobacteria,1RQXY@1236|Gammaproteobacteria,3X0PA@547|Enterobacter",2|Bacteria,NU,Bacterial conjugation TrbI-like protein,tolA,-,2.7.13.3,"ko:K03407,ko:K03646,ko:K06596,ko:K07277,ko:K12065,ko:K13593","ko02020,ko02025,ko02030,ko04112,map02020,map02025,map02030,map04112","M00506,M00507",-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02000,ko02022,ko02035,ko02044,ko03029","1.B.33,2.C.1.2,3.A.7.11.1",-,-,TrbI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-10
tdh~~~yggC,tdh~~~yggC,1197719.A464_3100,6.89e-296,808.0,"COG1063@1|root,COG1063@2|Bacteria,1QA80@1224|Proteobacteria,1RQ2Z@1236|Gammaproteobacteria,3ZMUY@590|Salmonella",2|Bacteria,E,Alcohol dehydrogenase GroES-like domain,yggP,-,-,ko:K19956,"ko00051,map00051",-,R03234,RC00089,"ko00000,ko00001,ko01000",-,-,-,"ADH_N,ADH_zinc_N",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,hormaechei-steigerwaltii-4;hormaechei-hoffmannii-1;hormaechei-hoffmannii-2;hormaechei-oharae
phlA,phlA,1399774.JDWH01000002_gene3077,0.0,919.0,"COG4104@1|root,COG4104@2|Bacteria,1PWMT@1224|Proteobacteria,1T1R2@1236|Gammaproteobacteria",2|Bacteria,S,PAAR repeat-containing protein,-,-,-,-,-,-,-,-,-,-,-,-,"DUF2974,DUF4280",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,mori;ludwigii;cloacae;hormaechei-steigerwaltii-2;hormaechei-steigerwaltii-1;hormaechei-steigerwaltii-3;hormaechei-hoffmannii-1;hormaechei-hoffmannii-2;hormaechei-hoffmannii-3;hormaechei-hormaechei;hormaechei-xiangfangensis-2;hormaechei-xiangfangensis-1;hormaechei-xiangfangensis-3
group_18136,group_18136,1484158.PSNIH1_20475,2.1399999999999999e-246,687.0,"COG0270@1|root,COG0270@2|Bacteria,1MV9H@1224|Proteobacteria,1RPM4@1236|Gammaproteobacteria,3W1RI@53335|Pantoea",2|Bacteria,H,C-5 cytosine-specific DNA methylase,dcm,-,2.1.1.37,ko:K00558,"ko00270,ko01100,ko05206,map00270,map01100,map05206",M00035,R04858,"RC00003,RC00332","ko00000,ko00001,ko00002,ko01000,ko02048,ko03032,ko03036",-,-,-,"DNA_methylase,HTH_3",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-1
