,genome_name,taxon_id,genome_status,strain,completion_date,bioproject_accession,biosample_accession,assembly_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosomes,plasmids,contigs,genome_length,gc_content,patric_cds,refseq_cds,isolation_source,collection_date,isolation_country,geographic_location,host_name,additional_metadata,complete_mash_cluster,mlst,closest_genome_reference,closest_genome_taxonomy,mobile-1,mobile-4,mobile-2,mobile-3,mobile-10,mobile-7,mobile-6,mobile-5,mobile-8,mobile-9,roggenkampii,asburiae-1,asburiae-2,cancerogenous,kobei,bugandensis,mori,ludwigii,cloacae,hormaechei-steigerwaltii-2,hormaechei-steigerwaltii-4,hormaechei-steigerwaltii-1,hormaechei-steigerwaltii-3,hormaechei-hoffmannii-1,hormaechei-hoffmannii-2,hormaechei-hoffmannii-3,hormaechei-hormaechei,hormaechei-oharae,hormaechei-xiangfangensis-2,hormaechei-xiangfangensis-1,hormaechei-xiangfangensis-3,phylon_list
1686399.6,Enterobacter sp. BIDMC100 strain Colony375,1686399,Complete,Colony375,2021-07-28T00:00:00Z,PRJNA668870,SAMN17833506,GCA_019378735.1,CP079994,Ministry of Public Health-Thailand,Complete,Illumina HiSeq,89.112x,idba_ud v. V1.1.3,1,0,1,4546645,55.891083,4019,,food,,Thailand,Thailand: Bangkok,,"collected_by:Department of Disease Control, Ministry of Public Health",7.0,-1,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GCA_030847765.2,Enterobacter hormaechei Ehh_8,158836,Complete,Ehh_8,2023-08-21,PRJNA976530,SAMN35394391,GCA_030847765.2,SAMN35394391,University of Bern,OK,Illumina; Oxford Nanopore,,ASM3084776v2,1,2,3,5150003,55.0,,4806.0,nose,2021-09-14,Switzerland,Switzerland,Homo sapiens,,10.0,-1,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-1;mobile-3;mobile-5;mobile-9
GCA_040892585.1,Enterobacter cloacae STK71-C,550,Complete,STK71-C,2024-07-24,PRJNA1134078,SAMN42392506,GCA_040892585.1,SAMN42392506,University of Zurich,OK,"Illumina MiniSeq, Oxford Nanopore",,ASM4089258v1,1,0,1,4924798,55.0,,4515.0,"Basil, import product",2023,Switzerland,Switzerland,,,34.0,-1,GCF_000025565.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloacae
550.1125,Enterobacter cloacae strain DG6,550,Complete,DG6,2017-04-19T00:00:00Z,PRJEB20432,SAMN04487932,GCA_900177445.1,LT840187,DOE - JOINT GENOME INSTITUTE,Complete,,,,1,,1,4773509,55.6,4495,4351,,,,,,,12.0,134,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-9
158836.1174,Enterobacter hormaechei strain FDAARGOS 1435 strain Not applicable,158836,Complete,Not applicable,2021-06-28T00:00:00Z,PRJNA231221,SAMN16357577,GCA_019048625.1,"CP077392,CP077393",US Food and Drug Administration,Complete,Pacbio; Illumina,1596.26x,"SMRT v. 9.0.0, HGAP v. 4.0, SPAdes v.",1,1,2,4762440,54.974697,4638,4475,,,Germany,Germany: Braunschweig,,collected_by:DSMZ,4.0,382,GCF_040096145.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter intestinihominis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GCA_048388455.1,Enterobacter hormaechei FAHZZU6354,158836,Complete,FAHZZU6354,2025-03-05,PRJNA1208604,SAMN46188680,GCA_048388455.1,SAMN46188680,Zhengzhou University,OK,Oxford Nanopore,,ASM4838845v1,1,2,3,5044675,55.0,,4697.0,secretion,2022,China,China: Henan,Homo sapiens,,2.0,-1,GCF_040096145.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter intestinihominis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-6;hormaechei-hoffmannii-2
GCA_032202905.1,Enterobacter hormaechei Ehh_18,158836,Complete,Ehh_18,2023-08-21,PRJNA976530,SAMN35394407,GCA_032202905.1,SAMN35394407,University of Bern,OK,Illumina; Oxford Nanopore,,ASM3220290v1,1,4,5,5024573,55.0,,4710.0,urine,2021-12-20,Switzerland,Switzerland,Homo sapiens,,7.0,-1,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,mobile-2;mobile-3;mobile-5;hormaechei-xiangfangensis-3
158836.966,Enterobacter hormaechei strain Eho-E2,158836,Complete,Eho-E2,2020-12-10T00:00:00Z,PRJNA599404,SAMN13747519,GCA_015910205.1,"CP047715,CP047716,CP047717,CP047718,CP047719,CP047720",Public Health Ontario,Complete,"Illumina MiSeq, Oxford Nanopore MiniION",100x,Unicycler v. v 0.4.8-BETA,1,5,6,5034810,54.750668,4949,4729,Sewage water,2015-07-23,Canada,Canada:Ontario,,collected_by:Public Health Ontario,8.0,269,GCF_001875655.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mobile-1;hormaechei-hormaechei
158836.2200,Enterobacter hormaechei 2020CK-00224,158836,Complete,2020CK-00224,2023-02-27T00:00:00Z,PRJNA812595,SAMN15907159,,"CP118383,CP118384,CP118385,CP118386,CP118387,CP118388,CP118389",,,Oxford Nanopore GridION,20.0x,Unicycler v. 0.5.0,1,6,7,5192593,55.360878,5080,4902,Rectal Swab,2020-06-23,USA,USA,Homo sapiens,,12.0,1909,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-10;mobile-9
158836.808,Enterobacter hormaechei strain RHBSTW-00216,158836,Complete,RHBSTW-00216,2020-07-27T00:00:00Z,PRJNA605147,SAMN15148545,GCA_013743935.1,"CP056751,CP056752,CP056753,CP056754,CP056755",University of Oxford,Complete,Hybrid: Illumina and OXFORD_NANOPORE,103.964872087639x,Unicycler v. v0.4.7,1,4,5,4852893,55.471798,4737,4579,Wastewater influent sample,2017,United Kingdom,United Kingdom,,"sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",9.0,108,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mobile-9;hormaechei-oharae
158836.1180,Enterobacter hormaechei strain Colony484,158836,Complete,Colony484,2021-07-19T00:00:00Z,PRJNA668870,SAMN17833495,GCA_019272975.1,CP078710,Ministry of Public Health-Thailand,Complete,Illumina HiSeq,67.14x,idba_ud v. V1.1.3,1,0,1,5033927,56.176617,5092,,food,,Thailand,Thailand: Narathiwas,,"collected_by:Department of Disease Control, Ministry of Public Health",7.0,-1,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
550.2254,Enterobacter cloacae strain Effluent_3,550,Complete,Effluent_3,2019-04-21T00:00:00Z,PRJNA529503,SAMN11268907,GCA_004801515.1,"CP039311,CP039312,CP039313,CP039315,CP039316,CP039317,CP039314",University of Oxford,Complete,Hybrid assembly: Illumina HiSeq 4000 and,30x,Unicycler v. v0.4.0,1,6,7,5465376,54.72044,5351,5211,Treated sewage effluent,2016,United Kingdom,United Kingdom: Cholsey Sewage Treatment Works,,sample_type:Single colony culture,34.0,1421,GCF_000025565.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-7;cloacae
158836.1231,Enterobacter hormaechei strain ECC45,158836,Complete,ECC45,2021-08-10T00:00:00Z,PRJNA752244,SAMN20587855,GCA_019537335.1,JAIEUF000000000,Shenzhen People's Hospital,Complete,Oxford Nanopore,110x,Unicycler v. 0.4.8,1,12,13,5430296,54.719078,5404,5174,Catheter,2015,China,China: Shenzhen,Homo sapiens,collected_by:Yang Ji,11.0,133,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-1;mobile-6;mobile-9;hormaechei-steigerwaltii-4
GCA_036936505.1,Enterobacter sp. JJBC JJBC,3080020,Complete,JJBC,2024-03-01,PRJNA1026073,SAMN37733154,GCA_036936505.1,SAMN37733154,Univeristy of Exeter,OK,Illumina NovaSeq; Oxford Nanopore GridION,,ASM3693650v1,1,4,5,5143310,55.0,,4739.0,,2020-10,United Kingdom,United Kingdom,Plutella xylostella,,7.0,-1,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,hormaechei-xiangfangensis-3
158836.2353,Enterobacter hormaechei RHB45-SO-C02,158836,Complete,RHB45-SO-C02,2023-04-13T00:00:00Z,PRJNA605147,SAMN15488699,,"CP099318,CP099319,CP099320,CP099321,CP099322",,,Illumina/Nanopore,148x,Unicycler v. v0.4.4,1,4,5,4964208,55.48458,4803,4667,Pooled soil sample collected from floor of poultry farm,2017,United Kingdom,United Kingdom,,"sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",12.0,113,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-2;mobile-10
550.1235,Enterobacter cloacae strain MS7884A,550,Complete,MS7884A,2017-07-31T00:00:00Z,PRJNA383436,SAMN06765483,GCA_002237465.1,"CP022532,CP022533,CP022534",University of Queensland,Complete,PacBio,179.0x,HGAP v. 2.0,1,2,3,5267121,54.91,5161,4968,endotracheal tube,2015-06-15,Australia,Australia,"Human, Homo sapiens",,12.0,90,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-1;mobile-10;mobile-5;hormaechei-steigerwaltii-1
158836.1099,Enterobacter hormaechei strain RIVM_C017238,158836,Complete,RIVM_C017238,2021-03-03T00:00:00Z,PRJNA695145,SAMN17615670,GCA_017161785.1,"CP071021,CP071022",National Institute for Public Health and the Environment,Complete,Oxford Nanopore MiniION,30x,Unicycler v. 0.4.4,1,1,2,5023816,54.636734,4878,4688,,2018,Netherlands,Netherlands,Homo sapiens,sample_type:Chromosome,1.0,78,GCF_040096145.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter intestinihominis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-1;hormaechei-hoffmannii-1
2876028.10,Enterobacter cloacae complex sp. ECL352,2876028,Complete,ECL352,2021-09-25T00:00:00Z,PRJNA757181,SAMN21399027,,"CP083709,CP083710,CP083711,CP083712,CP083713,CP083714",,Complete,Oxford Nanopore PromethION,550.0x,canu v. 1.6,1,5,6,4958769,55.75757,4932,4801,sputum,2020-09-24,China,"China:Yongchuan District, Chongqing",Homo sapiens,sample_type:pure culture,22.0,25,GCF_007035645.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter asburiae_B,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-7;asburiae-1
1812935.462,Enterobacter roggenkampii 0-E,1812935,Complete,0-E,2023-04-01T00:00:00Z,PRJNA945021,SAMN33770999,,"CP120524,CP120521,CP120522,CP120523,CP120525",,,Oxford Nanopore GridION,26.0x,Unicycler v. 0.4.8,1,4,5,5003496,55.688023,5004,4744,feces,2022,Canada,Canada: Quebec,Homo sapiens,collected_by:MELCCFFP,17.0,681,GCF_001729805.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter roggenkampii,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-10;roggenkampii
158836.1965,Enterobacter hormaechei P7538,158836,Complete,P7538,2022-07-05T00:00:00Z,PRJNA713619,SAMN18255044,GCA_024138915.1,"CP071833,CP071832,CP071830,CP071831",,Complete,Illumina MiSeq; Oxford Nanopore MinION,21.0x,SPAdes v. May 2020,1,3,4,5653758,54.454548,5698,5404,rectal swab,2018,France,France: Marseille,Homo sapiens,collected_by:IHU Mediterranee Infection,11.0,133,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-1;mobile-3;mobile-8;hormaechei-steigerwaltii-4
