Gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,phylon_exclusive
group_15220,group_15220,1484158.PSNIH1_19950,0.0,1801.0,"2BD8K@1|root,326WV@2|Bacteria,1QIJC@1224|Proteobacteria,1TGE7@1236|Gammaproteobacteria,3W23G@53335|Pantoea",2|Bacteria,S,KAP family P-loop domain,-,-,-,-,-,-,-,-,-,-,-,-,KAP_NTPase,False
pcoC~~~copC,pcoC~~~copC,1115512.EH105704_07_01700,1.45e-80,239.0,"COG2372@1|root,COG2372@2|Bacteria,1RANJ@1224|Proteobacteria,1SYGY@1236|Gammaproteobacteria,3XPR5@561|Escherichia",2|Bacteria,S,CopC domain,copC,-,-,ko:K07156,-,-,-,-,"ko00000,ko02000",9.B.62.2,-,-,CopC,False
group_23260,group_23260,1399774.JDWH01000038_gene4058,2.24e-118,338.0,"COG1595@1|root,COG1595@2|Bacteria,1RHRW@1224|Proteobacteria,1SYGZ@1236|Gammaproteobacteria",2|Bacteria,K,Belongs to the sigma-70 factor family. ECF subfamily,fecI,-,-,ko:K03088,-,-,-,-,"ko00000,ko03021",-,-,-,"Sigma70_r2,Sigma70_r4_2",False
group_12776,group_12776,1484158.PSNIH1_19930,1.9399999999999997e-54,171.0,"COG1396@1|root,COG1396@2|Bacteria,1NE94@1224|Proteobacteria,1SAHI@1236|Gammaproteobacteria,3W19D@53335|Pantoea",2|Bacteria,K,Helix-turn-helix domain,hipB,-,-,ko:K15773,-,-,-,-,"ko00000,ko02048,ko03000",-,-,-,"HTH_3,HTH_31",False
group_15131,group_15131,1484158.PSNIH1_20795,0.0,1176.0,"2AUXM@1|root,31KM4@2|Bacteria,1QIGR@1224|Proteobacteria,1TGBA@1236|Gammaproteobacteria,3W1PE@53335|Pantoea",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
group_49491,group_49491,1114922.CIFAM_22_00450,3.58e-78,232.0,"COG3436@1|root,COG3436@2|Bacteria,1MZFT@1224|Proteobacteria,1S5J3@1236|Gammaproteobacteria",2|Bacteria,L,IS66 Orf2 like protein,tnpB,-,-,ko:K07484,-,-,-,-,ko00000,-,-,-,TnpB_IS66,False
group_32179,group_32179,571.MC52_00495,6.909999999999999e-197,548.0,"COG0604@1|root,COG0604@2|Bacteria,1MU4N@1224|Proteobacteria,1SMHI@1236|Gammaproteobacteria",2|Bacteria,C,Zinc-binding dehydrogenase,-,-,1.6.5.5,ko:K00344,-,-,-,-,"ko00000,ko01000",-,-,-,"ADH_N,ADH_zinc_N,ADH_zinc_N_2",False
group_43434,group_43434,481805.EcolC_3893,8.679999999999998e-82,246.0,"COG1662@1|root,COG3677@1|root,COG1662@2|Bacteria,COG3677@2|Bacteria,1RF0C@1224|Proteobacteria,1S5S1@1236|Gammaproteobacteria,3XQAS@561|Escherichia",2|Bacteria,L,hmm pf03400,-,-,-,ko:K07480,-,-,-,-,ko00000,-,-,-,"DDE_Tnp_IS1,HTH_Tnp_IS1,Zn_Tnp_IS1",True
group_14794,group_14794,1484158.PSNIH1_20785,2.58e-91,268.0,"2AUWY@1|root,31KKC@2|Bacteria,1QIFT@1224|Proteobacteria,1TGA3@1236|Gammaproteobacteria,3W1JA@53335|Pantoea",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
group_46973,group_46973,1399774.JDWH01000005_gene351,5.179999999999999e-274,748.0,"COG1062@1|root,COG1062@2|Bacteria,1MUK4@1224|Proteobacteria,1RNQ4@1236|Gammaproteobacteria,3X114@547|Enterobacter",2|Bacteria,C,Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily,adhC,"GO:0003674,GO:0003824,GO:0004022,GO:0004024,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006081,GO:0008150,GO:0008152,GO:0008270,GO:0009056,GO:0009636,GO:0009987,GO:0010033,GO:0016491,GO:0016614,GO:0016616,GO:0016999,GO:0017001,GO:0017144,GO:0042221,GO:0042802,GO:0043167,GO:0043169,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046185,GO:0046292,GO:0046294,GO:0046872,GO:0046914,GO:0050896,GO:0051716,GO:0051903,GO:0055114,GO:0070887,GO:0071704,GO:0097237,GO:0098754,GO:0110095,GO:0110096,GO:1901575,GO:1901700,GO:1901701,GO:1990748","1.1.1.1,1.1.1.284",ko:K00121,"ko00010,ko00071,ko00350,ko00625,ko00626,ko00680,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01200,ko01220,ko05204,map00010,map00071,map00350,map00625,map00626,map00680,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01200,map01220,map05204",-,"R00623,R00754,R02124,R04880,R05233,R05234,R06917,R06927,R06983,R07105,R08281,R08306,R08310","RC00050,RC00087,RC00088,RC00099,RC00116,RC00649,RC01715,RC01734,RC02273","ko00000,ko00001,ko01000",-,-,"iEC042_1314.EC042_0393,iEC55989_1330.EC55989_0365,iECH74115_1262.ECH74115_0431,iECIAI1_1343.ECIAI1_0357,iECIAI39_1322.ECIAI39_0322,iECO103_1326.ECO103_0338,iECO111_1330.ECO111_0392,iECO26_1355.ECO26_0392,iECSE_1348.ECSE_0381,iECSP_1301.ECSP_0420,iECUMN_1333.ECUMN_0399,iECW_1372.ECW_m0434,iECs_1301.ECs0411,iEKO11_1354.EKO11_3486,iETEC_1333.ETEC_0412,iEcE24377_1341.EcE24377A_0381,iEcHS_1320.EcHS_A0421,iEcolC_1368.EcolC_3269,iG2583_1286.G2583_0469,iSSON_1240.SSON_0335,iSbBS512_1146.SbBS512_E0271,iUMNK88_1353.UMNK88_407,iWFL_1372.ECW_m0434,iZ_1308.Z0456","ADH_N,ADH_zinc_N",False
group_42663,group_42663,500637.PROVRUST_06883,3.77e-53,167.0,"COG1937@1|root,COG1937@2|Bacteria,1N6ZN@1224|Proteobacteria,1SCK3@1236|Gammaproteobacteria,3Z9BH@586|Providencia",2|Bacteria,S,Metal-sensitive transcriptional repressor,frmR,"GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0080090,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141",-,ko:K21600,-,-,-,-,"ko00000,ko03000",-,-,-,Trns_repr_metal,False
group_44623,group_44623,701347.Entcl_1385,1.91e-57,179.0,"COG2963@1|root,COG2963@2|Bacteria,1N10J@1224|Proteobacteria,1S994@1236|Gammaproteobacteria",2|Bacteria,L,Transposase IS3 IS911 family protein,insN,-,-,"ko:K07483,ko:K07497",-,-,-,-,ko00000,-,-,-,HTH_Tnp_1,True
group_15170,group_15170,1484158.PSNIH1_19895,4.930000000000001e-208,574.0,"COG0627@1|root,COG0627@2|Bacteria,1MUID@1224|Proteobacteria,1RMR3@1236|Gammaproteobacteria,3W1U6@53335|Pantoea",2|Bacteria,S,Serine hydrolase involved in the detoxification of formaldehyde,fghA,"GO:0003674,GO:0003824,GO:0006081,GO:0008150,GO:0008152,GO:0009987,GO:0016787,GO:0016788,GO:0016790,GO:0016999,GO:0017144,GO:0018738,GO:0044237,GO:0044281,GO:0046292,GO:0071704",3.1.2.12,"ko:K01070,ko:K09795","ko00680,ko01120,ko01200,map00680,map01120,map01200",-,R00527,"RC00167,RC00320","ko00000,ko00001,ko01000",-,CE1,"iAF1260.b0355,iBWG_1329.BWG_0244,iECDH10B_1368.ECDH10B_0310,iECDH1ME8569_1439.ECDH1ME8569_0342,iEcDH1_1363.EcDH1_3251,iG2583_1286.G2583_0468,iJO1366.b0355,iY75_1357.Y75_RS01830",Esterase,False
group_21951,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
tnp~~~insE~~~tnpP,tnp~~~insE~~~tnpP,1267600.JFGT01000005_gene3034,4.6299999999999997e-54,171.0,"COG2963@1|root,COG2963@2|Bacteria,1MZ5C@1224|Proteobacteria,1S9KN@1236|Gammaproteobacteria,3W0ZX@53335|Pantoea",2|Bacteria,L,Transposase,-,-,-,ko:K07483,-,-,-,-,ko00000,-,-,-,HTH_Tnp_1,True
acrA~~~silB~~~cusB,acrA~~~silB~~~cusB,481805.EcolC_3423,4.9300000000000005e-303,827.0,"COG0845@1|root,COG0845@2|Bacteria,1MVAS@1224|Proteobacteria,1RPBZ@1236|Gammaproteobacteria,3XMPG@561|Escherichia",2|Bacteria,M,"Long alpha hairpin domain of cation efflux system protein, CusB",cusB,-,-,ko:K07798,"ko02020,map02020",-,-,-,"ko00000,ko00001,ko02000","2.A.6.1.4,8.A.1",-,iECSF_1327.ECSF_0504,"CusF_Ec,HlyD_D23,HlyD_D4",False
group_12791,group_12791,911008.GLAD_01626,0.0,1568.0,"COG4772@1|root,COG4772@2|Bacteria,1MWDG@1224|Proteobacteria,1RQA5@1236|Gammaproteobacteria",2|Bacteria,P,receptor,fecA,"GO:0000041,GO:0003674,GO:0005215,GO:0005381,GO:0005575,GO:0005623,GO:0006810,GO:0006811,GO:0006812,GO:0006826,GO:0008150,GO:0008324,GO:0009279,GO:0015075,GO:0015091,GO:0015318,GO:0015682,GO:0016020,GO:0019867,GO:0022857,GO:0022890,GO:0030001,GO:0030312,GO:0030313,GO:0031975,GO:0034220,GO:0034755,GO:0044462,GO:0044464,GO:0046873,GO:0046915,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0072510,GO:0072512,GO:0098655,GO:0098660,GO:0098662",-,ko:K16091,-,-,-,-,"ko00000,ko02000",1.B.14.1.14,-,iEC042_1314.EC042_4780,"Plug,STN,TonB_dep_Rec",False
group_48170,group_48170,1484157.PSNIH2_09270,2.93e-284,775.0,"COG1063@1|root,COG1063@2|Bacteria,1MW6Y@1224|Proteobacteria,1RRPT@1236|Gammaproteobacteria,3VZ6I@53335|Pantoea",2|Bacteria,E,Dehydrogenase,-,-,"1.1.1.14,1.1.1.303,1.1.1.4,1.2.1.46","ko:K00004,ko:K00008,ko:K00148","ko00040,ko00051,ko00625,ko00650,ko00680,ko01100,ko01120,ko01200,map00040,map00051,map00625,map00650,map00680,map01100,map01120,map01200",M00014,"R00604,R00875,R01896,R02855,R02946,R10504","RC00085,RC00102,RC00188,RC00205,RC00525","ko00000,ko00001,ko00002,ko01000",-,-,-,"ADH_N,ADH_N_assoc,ADH_zinc_N",False
tnp~~~insE~~~ykgN,tnp~~~insE~~~ykgN,571.MC52_11075,7.100000000000001e-76,237.0,"COG2801@1|root,COG2801@2|Bacteria,1MVXQ@1224|Proteobacteria,1RR4F@1236|Gammaproteobacteria",2|Bacteria,L,COG2801 Transposase and inactivated derivatives,insF,-,-,ko:K07497,-,-,-,-,ko00000,-,-,-,"HTH_21,rve",False
tnp~~~orfB~~~insE,tnp~~~orfB~~~insE,571.MC52_11075,3.67e-167,471.0,"COG2801@1|root,COG2801@2|Bacteria,1MVXQ@1224|Proteobacteria,1RR4F@1236|Gammaproteobacteria",2|Bacteria,L,COG2801 Transposase and inactivated derivatives,insF,-,-,ko:K07497,-,-,-,-,ko00000,-,-,-,"HTH_21,rve",True
group_16929,group_16929,1399774.JDWH01000038_gene4066,1.4e-62,191.0,"COG4943@1|root,COG4943@2|Bacteria,1NXF8@1224|Proteobacteria,1SQKM@1236|Gammaproteobacteria",2|Bacteria,T,EAL domain,-,-,-,-,-,-,-,-,-,-,-,-,"CSS-motif,EAL",False
group_48989,group_48989,481805.EcolC_3170,2.25e-147,417.0,"COG1662@1|root,COG3677@1|root,COG1662@2|Bacteria,COG3677@2|Bacteria,1RF0C@1224|Proteobacteria,1S5S1@1236|Gammaproteobacteria,3XQAS@561|Escherichia",2|Bacteria,L,hmm pf03400,-,-,-,ko:K07480,-,-,-,-,ko00000,-,-,-,"DDE_Tnp_IS1,HTH_Tnp_IS1,Zn_Tnp_IS1",False
group_15057,group_15057,716541.ECL_03692,1.5799999999999998e-277,762.0,"COG2223@1|root,COG2223@2|Bacteria,1MYS9@1224|Proteobacteria,1RMRW@1236|Gammaproteobacteria,3X4CA@547|Enterobacter",2|Bacteria,P,LacY proton/sugar symporter,lacY,"GO:0003674,GO:0005215,GO:0005351,GO:0005402,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008324,GO:0008643,GO:0015075,GO:0015077,GO:0015078,GO:0015144,GO:0015154,GO:0015155,GO:0015157,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015528,GO:0015672,GO:0015766,GO:0015767,GO:0015772,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0022890,GO:0030246,GO:0030395,GO:0031224,GO:0031226,GO:0034219,GO:0034220,GO:0044425,GO:0044459,GO:0044464,GO:0048030,GO:0051179,GO:0051234,GO:0055085,GO:0070492,GO:0071702,GO:0071944,GO:0098655,GO:0098660,GO:0098662,GO:1902600",-,ko:K02532,-,-,-,-,"ko00000,ko02000",2.A.1.5,-,"iAF1260.b0343,iAPECO1_1312.APECO1_1650,iB21_1397.B21_00301,iBWG_1329.BWG_3743,iE2348C_1286.E2348C_0298,iECABU_c1320.ECABU_c04330,iECBD_1354.ECBD_3314,iECB_1328.ECB_00297,iECDH10B_1368.ECDH10B_1356,iECDH1ME8569_1439.ECDH1ME8569_0330,iECD_1391.ECD_00297,iECED1_1282.ECED1_0371,iECO103_1326.ECO103_0325,iECO111_1330.ECO111_0379,iECO26_1355.ECO26_0379,iECOK1_1307.ECOK1_0335,iECP_1309.ECP_0416,iECS88_1305.ECS88_0350,iECSE_1348.ECSE_0368,iECUMN_1333.ECUMN_0386,iECW_1372.ECW_m0421,iEKO11_1354.EKO11_3499,iEcDH1_1363.EcDH1_3263,iEcE24377_1341.EcE24377A_0367,iEcSMS35_1347.EcSMS35_0374,iEcolC_1368.EcolC_3282,iJO1366.b0343,iJR904.b0343,iLF82_1304.LF82_1167,iNRG857_1313.NRG857_01660,iUMN146_1321.UM146_15590,iUMNK88_1353.UMNK88_393,iUTI89_1310.UTI89_C0370,iWFL_1372.ECW_m0421,iY75_1357.Y75_RS01770",LacY_symp,False
group_44140,group_44140,481805.EcolC_3170,3.05e-170,474.0,"COG1662@1|root,COG3677@1|root,COG1662@2|Bacteria,COG3677@2|Bacteria,1RF0C@1224|Proteobacteria,1S5S1@1236|Gammaproteobacteria,3XQAS@561|Escherichia",2|Bacteria,L,hmm pf03400,-,-,-,ko:K07480,-,-,-,-,ko00000,-,-,-,"DDE_Tnp_IS1,HTH_Tnp_IS1,Zn_Tnp_IS1",False
fecD,fecD,1399774.JDWH01000038_gene4063,1.73e-219,606.0,"COG0609@1|root,COG0609@2|Bacteria,1MV9W@1224|Proteobacteria,1RR9X@1236|Gammaproteobacteria,3X4AA@547|Enterobacter",2|Bacteria,P,FecCD transport family,fecD,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0015603,GO:0015688,GO:0016020,GO:0022857,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:1901678",-,ko:K02015,"ko02010,map02010",M00240,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.14,-,"iB21_1397.B21_04117,iEC042_1314.EC042_4777,iEC55989_1330.EC55989_4961,iECABU_c1320.ECABU_c49000,iECBD_1354.ECBD_3750,iECB_1328.ECB_04154,iECD_1391.ECD_04154,iECED1_1282.ECED1_5153,iECNA114_1301.ECNA114_2547,iECO26_1355.ECO26_5456,iEcE24377_1341.EcE24377A_4865,iEcolC_1368.EcolC_0740,iUMNK88_1353.UMNK88_5227",FecCD,False
fecC,fecC,1399774.JDWH01000038_gene4062,6.06e-227,626.0,"COG0609@1|root,COG0609@2|Bacteria,1R87A@1224|Proteobacteria,1RP2K@1236|Gammaproteobacteria",2|Bacteria,P,Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily,fecC,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0015603,GO:0015688,GO:0016020,GO:0022857,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:1901678",-,ko:K02015,"ko02010,map02010",M00240,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.14,-,"iEC55989_1330.EC55989_4962,iECIAI39_1322.ECIAI39_4767,iEcE24377_1341.EcE24377A_4866",FecCD,False
group_15162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
pcoS~~~baeS,pcoS~~~baeS,469595.CSAG_04236,0.0,899.0,"COG0642@1|root,COG2205@2|Bacteria,1MW8M@1224|Proteobacteria,1RNDA@1236|Gammaproteobacteria,3WZUB@544|Citrobacter",2|Bacteria,T,His Kinase A (phosphoacceptor) domain,copS,-,2.7.13.3,"ko:K02484,ko:K07644,ko:K18143","ko01501,ko02020,map01501,map02020","M00452,M00649,M00655,M00745",-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko01504,ko02022",-,-,-,"HAMP,HATPase_c,HisKA",False
group_23203,group_23203,1006000.GKAS_02282,8.59e-57,183.0,"28MD3@1|root,2ZAQZ@2|Bacteria,1QSMW@1224|Proteobacteria,1RSHN@1236|Gammaproteobacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
group_43844,group_43844,469595.CSAG_04232,2.46e-218,602.0,"COG3667@1|root,COG3667@2|Bacteria,1MXW6@1224|Proteobacteria,1RZEY@1236|Gammaproteobacteria",2|Bacteria,P,copper resistance,copB,-,-,ko:K07233,-,-,-,-,ko00000,-,-,-,CopB,False
group_47912,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
group_46396,group_46396,911008.GLAD_00021,1.47e-59,183.0,"COG3677@1|root,COG3677@2|Bacteria,1RIB2@1224|Proteobacteria,1S61N@1236|Gammaproteobacteria",2|Bacteria,L,cog cog3677,-,-,-,-,-,-,-,-,-,-,-,-,"DDE_Tnp_IS1,HTH_Tnp_IS1,Zn_Tnp_IS1",True
group_35821,group_35821,911008.GLAD_01739,0.0,1456.0,"COG1032@1|root,COG1032@2|Bacteria,1MUG3@1224|Proteobacteria,1RN9V@1236|Gammaproteobacteria",2|Bacteria,C,UPF0313 protein,ygiQ,-,-,-,-,-,-,-,-,-,-,-,"DUF3362,Radical_SAM,Radical_SAM_N",False
group_12716,group_12716,1399774.JDWH01000039_gene4071,0.0,2142.0,"COG3250@1|root,COG3250@2|Bacteria,1MVBN@1224|Proteobacteria,1RMER@1236|Gammaproteobacteria,3X0E0@547|Enterobacter",2|Bacteria,G,Belongs to the glycosyl hydrolase 2 family,lacZ,"GO:0000287,GO:0003674,GO:0003824,GO:0004553,GO:0004565,GO:0005488,GO:0005515,GO:0005575,GO:0005975,GO:0005984,GO:0005988,GO:0005990,GO:0008150,GO:0008152,GO:0009056,GO:0009311,GO:0009313,GO:0009341,GO:0009987,GO:0015925,GO:0016052,GO:0016787,GO:0016798,GO:0031420,GO:0032991,GO:0042802,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044248,GO:0044262,GO:0044275,GO:0046352,GO:0046872,GO:0071704,GO:1901575,GO:1902494",3.2.1.23,ko:K01190,"ko00052,ko00511,ko00600,ko01100,map00052,map00511,map00600,map01100",-,"R01105,R01678,R03355,R04783,R06114","RC00049,RC00452","ko00000,ko00001,ko01000",-,-,"iAF1260.b0344,iB21_1397.B21_00302,iECBD_1354.ECBD_3313,iECB_1328.ECB_00298,iECDH1ME8569_1439.ECDH1ME8569_0331,iECD_1391.ECD_00298,iECNA114_1301.ECNA114_0327,iEcDH1_1363.EcDH1_3262,iJO1366.b0344,iJR904.b0344,iY75_1357.Y75_RS01775","Bgal_small_N,DUF4981,Glyco_hydro_2,Glyco_hydro_2_C,Glyco_hydro_2_N",False
group_42957,group_42957,1484158.PSNIH1_19890,1.38e-252,693.0,"COG3547@1|root,COG3547@2|Bacteria,1QPKD@1224|Proteobacteria,1TJGQ@1236|Gammaproteobacteria,3W1QK@53335|Pantoea",2|Bacteria,L,Transposase,-,-,-,-,-,-,-,-,-,-,-,-,"DEDD_Tnp_IS110,HTH_31,Transposase_20",True
group_2128,group_2128,1484158.PSNIH1_19900,6.79e-91,266.0,"COG0346@1|root,COG0346@2|Bacteria,1RDQV@1224|Proteobacteria,1S53Z@1236|Gammaproteobacteria,3W2P5@53335|Pantoea",2|Bacteria,E,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,-,-,4.4.1.5,ko:K01759,"ko00620,map00620",-,R02530,"RC00004,RC00740","ko00000,ko00001,ko01000",-,-,-,Glyoxalase,False
group_15130,group_15130,1484158.PSNIH1_20805,2.83e-151,425.0,"2AUZT@1|root,31KPN@2|Bacteria,1QIJA@1224|Proteobacteria,1TGE5@1236|Gammaproteobacteria,3W239@53335|Pantoea",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
